Soilcolor,Ph,K,P,N,Zn,S,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,WD10M,GWETTOP,CLOUD_AMT,WS2M_RANGE,PS,label,Ph_binned,N_P_interaction
red,0.4340836012861738,0.2475052473763118,0.2357241379310345,0.6291815893347739,0.1229286689419795,0.6581108829568789,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,0.7861400000000001
red,0.4083601286173636,0.392095952023988,0.1480689655172413,0.6291815893347739,0.4498293515358362,0.4580287474332649,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,0.4938099999999999
red,0.33440514469453375,0.5383253373313344,0.4401379310344827,0.6291815893347739,0.7962457337883959,0.5346611909650926,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,1.46786
red,0.3762057877813506,0.2636791604197901,0.0578537931034482,0.6291815893347739,0.2127160409556314,0.4858316221765915,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,0.1929424
red,0.5659163987138264,0.1609550224887556,0.1037931034482758,0.6291815893347739,0.223436518771331,0.4640657084188912,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,0.34615
brown,0.41800643086816713,0.5723628185907047,0.2635862068965517,0.6291815893347739,0.6802047781569966,0.4988501026694045,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,0.8790600000000001
brown,0.6012861736334406,0.0530509745127436,0.4252413793103448,0.6291815893347739,0.2873733788395904,0.4435318275154005,0.307304785467835,1.0,0.2648475116134063,0.0,0.4633770234875691,0.0057971021739131,0.0,0.178707222773208,0.0,0.1526586621508787,0.0,0.0,0.9040697674279172,0.8850687622676883,0.0658217490048329,0.5179372197309416,0.03826992753623179,0.5882352941176467,0.7578646329837939,0.9764705882352942,0.10123966942148652,Barley,medium,1.4181800000000002
brown,0.32154340836012857,0.1244377811094452,0.5517241379310345,0.6234303436745303,0.273037542662116,0.942505133470226,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,low,1.8232
black,0.32154340836012857,0.0749625187406296,0.4827586206896551,0.6234303436745303,0.3754266211604096,0.9014373716632444,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,low,1.5953
brown,0.32154340836012857,0.047976011994003,0.4827586206896551,0.6234303436745303,0.3754266211604096,0.7782340862423,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,low,1.5953
brown,0.32154340836012857,0.088455772113943,0.2758620689655172,0.6234303436745303,0.273037542662116,0.3264887063655031,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,low,0.9116
brown,0.32154340836012857,0.1079460269865067,0.5517241379310345,0.6234303436745303,0.3754266211604096,0.7371663244353184,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,low,1.8232
Red brown,0.35369774919614155,0.2533733133433283,0.1379310344827586,0.3643504201226073,0.4436860068259385,0.3675564681724846,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,medium,0.2666
brown,0.35369774919614155,0.2833583208395802,0.2758620689655172,0.3643504201226073,0.3071672354948805,0.6550308008213553,0.6952141059685673,0.5186781601051571,0.3627608372989384,0.4209932287098277,0.11410948274025319,0.0804347826086955,0.0853909475308638,0.1806083644118041,0.19840478556315125,0.0145797597050068,0.1979565747126432,0.4601299466000337,0.7572674421158819,0.8654223967451298,0.7420278007939607,0.6420029894618834,0.4076086956521739,0.8235294117647056,1.0,0.0,0.15495867768595212,Barley,medium,0.5332
